Date,Open,High,Low,Close,Volume
25-Mar-08,0.35,0.4,0.35,0.39,43
26-Mar-08,0.42,0.43,0.35,0.39,46
27-Mar-08,0.41,0.41,0.34,0.34,31
28-Mar-08,0.36,0.36,0.34,0.35,27
31-Mar-08,0.37,0.38,0.33,0.34,41
01-Apr-08,0.36,0.37,0.3,0.34,45
02-Apr-08,0.36,0.4,0.31,0.38,42
03-Apr-08,0.4,0.41,0.35,0.39,46
07-Apr-08,0.42,0.44,0.39,0.43,80
08-Apr-08,0.45,0.53,0.45,0.48,72
09-Apr-08,0.5,0.5,0.38,0.38,50
10-Apr-08,0.33,0.33,0.3,0.3,38
11-Apr-08,0.31,0.31,0.29,0.3,42
14-Apr-08,0.26,0.26,0.24,0.25,37
15-Apr-08,0.24,0.25,0.24,0.24,40
16-Apr-08,0.25,0.47,0.25,0.47,66
17-Apr-08,0.5,0.53,0.47,0.47,57
18-Apr-08,0.54,0.54,0.37,0.44,64
21-Apr-08,0.44,0.51,0.44,0.45,78
22-Apr-08,0.49,0.49,0.4,0.48,57
23-Apr-08,0.35,0.35,0.27,0.31,60
24-Apr-08,0.27,0.27,0.21,0.23,95
25-Apr-08,0.25,0.25,0.19,0.22,71
28-Apr-08,0.23,0.23,0.14,0.2,73
29-Apr-08,0.17,0.21,0.16,0.18,65
30-Apr-08,0.2,0.2,0.11,0.14,100
02-May-08,0.13,0.13,0.1,0.12,63
05-May-08,0.1,0.11,0.1,0.11,46
06-May-08,0.11,0.12,0.11,0.12,34
07-May-08,0.13,0.13,0.11,0.13,19
08-May-08,0.12,0.14,0.12,0.14,39
09-May-08,0.14,0.14,0.12,0.12,38
12-May-08,0.1,0.12,0.09,0.12,21
13-May-08,0.1,0.12,0.08,0.12,32
14-May-08,0.11,0.12,0.11,0.11,23
15-May-08,0.12,0.13,0.12,0.12,37
16-May-08,0.14,0.23,0.14,0.21,59
19-May-08,0.25,0.26,0.23,0.26,47
20-May-08,0.29,0.34,0.24,0.26,95
21-May-08,0.3,0.3,0.21,0.21,80
22-May-08,0.23,0.23,0.2,0.21,55
23-May-08,0.23,0.23,0.12,0.14,90
26-May-08,0.12,0.12,0.08,0.1,46
27-May-08,0.08,0.08,0.06,0.08,24
28-May-08,0.08,0.08,0.07,0.08,7
29-May-08,0.08,0.08,0.07,0.07,6
30-May-08,0.08,0.08,0.05,0.06,16
02-Jun-08,0.05,0.05,0.05,0.05,3
03-Jun-08,0.05,0.05,0.05,0.05,3
04-Jun-08,0.05,0.05,0.05,0.05,3
05-Jun-08,0.05,0.09,0.05,0.09,4
06-Jun-08,0.08,0.09,0.08,0.09,5
09-Jun-08,0.08,0.08,0.08,0.08,1
10-Jun-08,0.04,0.1,0.04,0.1,6
11-Jun-08,0.06,0.1,0.02,0.1,8
12-Jun-08,0.02,0.03,0.02,0.02,11
13-Jun-08,0.02,0.02,0.02,0.02,3
16-Jun-08,0.05,0.05,0.05,0.05,4
17-Jun-08,0.02,0.02,0.02,0.02,4
18-Jun-08,0.02,0.04,0.02,0.04,6
19-Jun-08,0.02,0.02,0.02,0.02,2
20-Jun-08,0.01,0.02,0.01,0.02,13
23-Jun-08,0.01,0.01,0.01,0.01,4
24-Jun-08,0.01,0.01,0.01,0.01,3
25-Jun-08,0.01,0.01,0.01,0.01,1
26-Jun-08,0.01,0.01,0.01,0.01,1
27-Jun-08,0.02,0.03,0.02,0.03,4
30-Jun-08,0.01,0.01,0.01,0.01,1
01-Jul-08,--,--,--,--,0
02-Jul-08,--,--,--,--,0
03-Jul-08,--,--,--,--,0
04-Jul-08,--,--,--,--,0
07-Jul-08,--,--,--,--,0
08-Jul-08,--,--,--,--,0
09-Jul-08,--,--,--,--,0
10-Jul-08,--,--,--,--,0
11-Jul-08,--,--,--,--,0
14-Jul-08,--,--,--,--,0
15-Jul-08,--,--,--,--,0
16-Jul-08,--,--,--,--,0
17-Jul-08,0.01,0.01,0.01,0.01,2
18-Jul-08,--,--,--,--,0
21-Jul-08,--,--,--,--,0
22-Jul-08,--,--,--,--,0
23-Jul-08,--,--,--,--,0
24-Jul-08,--,--,--,--,0
25-Jul-08,--,--,--,--,0
29-Jul-08,--,--,--,--,0
30-Jul-08,--,--,--,--,0
31-Jul-08,--,--,--,--,0
01-Aug-08,--,--,--,--,0
04-Aug-08,--,--,--,--,0
05-Aug-08,--,--,--,--,0
06-Aug-08,--,--,--,--,0
07-Aug-08,--,--,--,--,0
08-Aug-08,--,--,--,--,0
11-Aug-08,--,--,--,--,0
12-Aug-08,--,--,--,--,0
13-Aug-08,--,--,--,--,0
14-Aug-08,--,--,--,--,0
15-Aug-08,--,--,--,--,0
18-Aug-08,--,--,--,--,0
19-Aug-08,--,--,--,--,0
20-Aug-08,--,--,--,--,0
21-Aug-08,--,--,--,--,0
22-Aug-08,--,--,--,--,0
25-Aug-08,--,--,--,--,0
26-Aug-08,--,--,--,--,0
27-Aug-08,--,--,--,--,0
28-Aug-08,--,--,--,--,0
29-Aug-08,--,--,--,--,0
25-May-09,--,--,--,--,0
26-May-09,1.83,1.83,1.83,1.83,1
27-May-09,--,--,--,--,0
01-Jun-09,--,--,--,--,0
02-Jun-09,1.99,2.17,1.99,2.05,5
03-Jun-09,2.02,2.02,1.91,1.91,10
04-Jun-09,1.79,1.79,1.64,1.78,3
05-Jun-09,1.78,1.78,1.75,1.75,3
06-Jun-09,--,--,--,--,0
08-Jun-09,--,--,--,--,0
09-Jun-09,1.48,1.48,1.39,1.39,2
10-Jun-09,--,--,--,--,0
11-Jun-09,1.23,1.31,1.23,1.31,2
12-Jun-09,--,--,--,--,0
15-Jun-09,1.17,1.17,1.01,1.01,2
16-Jun-09,--,--,--,--,0
17-Jun-09,--,--,--,--,0
18-Jun-09,--,--,--,--,0
19-Jun-09,--,--,--,--,0
22-Jun-09,--,--,--,--,0
23-Jun-09,--,--,--,--,0
24-Jun-09,--,--,--,--,0
25-Jun-09,1.16,1.16,1.16,1.16,1
26-Jun-09,--,--,--,--,0
29-Jun-09,--,--,--,--,0
30-Jun-09,1.04,1.04,1.04,1.04,1
01-Jul-09,--,--,--,--,0
02-Jul-09,--,--,--,--,0
03-Jul-09,--,--,--,--,0
06-Jul-09,1.12,1.12,1.12,1.12,1
07-Jul-09,--,--,--,--,0
08-Jul-09,1.1,1.1,1.1,1.1,1
09-Jul-09,--,--,--,--,0
10-Jul-09,1.23,1.32,1.23,1.32,2
13-Jul-09,--,--,--,--,0
14-Jul-09,1.16,1.16,1.16,1.16,1
15-Jul-09,--,--,--,--,0
16-Jul-09,--,--,--,--,0
17-Jul-09,--,--,--,--,0
20-Jul-09,1.25,1.25,1.25,1.25,1
21-Jul-09,1.12,1.12,1.12,1.12,1
22-Jul-09,1.13,1.13,1.11,1.11,2
23-Jul-09,--,--,--,--,0
24-Jul-09,--,--,--,--,0
27-Jul-09,--,--,--,--,0
28-Jul-09,1.19,1.29,1.19,1.27,3
29-Jul-09,1.22,1.22,1.22,1.22,1
30-Jul-09,--,--,--,--,0
31-Jul-09,--,--,--,--,0
03-Aug-09,--,--,--,--,0
04-Aug-09,--,--,--,--,0
05-Aug-09,0.9,0.9,0.88,0.88,3
06-Aug-09,0.79,0.79,0.79,0.79,1
10-Aug-09,--,--,--,--,0
11-Aug-09,0.75,0.81,0.75,0.81,2
12-Aug-09,--,--,--,--,0
13-Aug-09,0.9,0.9,0.89,0.89,2
14-Aug-09,0.85,0.85,0.85,0.85,1
17-Aug-09,0.76,0.76,0.75,0.75,2
18-Aug-09,0.72,0.72,0.72,0.72,1
19-Aug-09,--,--,--,--,0
20-Aug-09,--,--,--,--,0
21-Aug-09,--,--,--,--,0
24-Aug-09,--,--,--,--,0
25-Aug-09,0.68,0.68,0.68,0.68,1
26-Aug-09,0.64,0.64,0.64,0.64,1
27-Aug-09,--,--,--,--,0
28-Aug-09,--,--,--,--,0
31-Aug-09,--,--,--,--,0
01-Sep-09,--,--,--,--,0
02-Sep-09,--,--,--,--,0
03-Sep-09,0.84,0.84,0.84,0.84,1
04-Sep-09,0.94,0.95,0.94,0.95,2
07-Sep-09,--,--,--,--,0
08-Sep-09,0.96,0.96,0.96,0.96,1
09-Sep-09,1.02,1.07,1.02,1.07,3
10-Sep-09,1.02,1.02,1.02,1.02,1
11-Sep-09,--,--,--,--,0
14-Sep-09,0.91,0.94,0.91,0.94,3
15-Sep-09,0.99,0.99,0.99,0.99,3
16-Sep-09,--,--,--,--,0
17-Sep-09,--,--,--,--,0
18-Sep-09,0.87,0.9,0.87,0.89,10
21-Sep-09,0.9,0.96,0.9,0.96,4
22-Sep-09,0.92,0.92,0.89,0.91,4
23-Sep-09,0.91,0.91,0.84,0.84,4
24-Sep-09,0.85,0.85,0.85,0.85,2
25-Sep-09,--,--,--,--,0
28-Sep-09,--,--,--,--,0
29-Sep-09,--,--,--,--,0
30-Sep-09,0.75,0.75,0.75,0.75,1
01-Oct-09,--,--,--,--,0
02-Oct-09,--,--,--,--,0
