Name,StockNum,Date,Open,High,Low,Close,Volume,L_score,S_score
鴻海,2317,2016/12/27,83.5,83.6,83,83.5,8402000,0,0
鴻海,2317,2016/12/28,83.1,84,83.1,84,15574000,0,0
鴻海,2317,2016/12/29,83.1,84.3,83.1,83.6,23649000,0,0
鴻海,2317,2016/12/30,84.2,84.4,84,84.2,21401000,0,0
鴻海,2317,2016/12/31,0,0,0,0,0,0,0
鴻海,2317,2017/1/1,0,0,0,0,0,0,0
鴻海,2317,2017/1/2,0,0,0,0,0,0,0
鴻海,2317,2017/1/3,83.7,84.3,83.7,84.3,15240000,0,0
鴻海,2317,2017/1/4,84.3,84.6,84.2,84.2,23568000,0,0
鴻海,2317,2017/1/5,84.4,84.5,83.8,84,25183000,0,0
鴻海,2317,2017/1/6,84.5,84.5,83.8,83.8,21793000,0,0
鴻海,2317,2017/1/7,0,0,0,0,0,0,0
鴻海,2317,2017/1/8,0,0,0,0,0,0,0
鴻海,2317,2017/1/9,84.1,84.3,83.5,83.5,16140000,0,0
鴻海,2317,2017/1/10,83.9,84.1,83.6,84,15806000,0,0
鴻海,2317,2017/1/11,84.4,84.4,83.4,84.2,26852000,0,0
鴻海,2317,2017/1/12,84.2,84.4,83.6,84.3,27821000,0,0
鴻海,2317,2017/1/13,84.3,84.4,83.9,84.2,22548000,0,0
鴻海,2317,2017/1/14,0,0,0,0,0,0,0
鴻海,2317,2017/1/15,0,0,0,0,0,137,0
鴻海,2317,2017/1/16,84,84,83.5,83.5,16072000,190,0
鴻海,2317,2017/1/17,83.8,84,83.5,84,14430000,23,0
鴻海,2317,2017/1/18,84,84.1,83.3,83.3,18945000,0,0
鴻海,2317,2017/1/19,83.3,83.8,83,83.5,21094000,0,0
鴻海,2317,2017/1/20,84,84,83.4,83.4,16928000,0,0
鴻海,2317,2017/1/21,0,0,0,0,0,0,0
鴻海,2317,2017/1/22,0,0,0,0,0,0,0
鴻海,2317,2017/1/23,83.5,84,83.4,84,27674000,0,0
鴻海,2317,2017/1/24,83.6,84,83.6,83.7,25157000,0,0
鴻海,2317,2017/1/25,0,0,0,0,0,0,0
鴻海,2317,2017/1/26,0,0,0,0,0,0,0
鴻海,2317,2017/1/27,0,0,0,0,0,0,0
鴻海,2317,2017/1/28,0,0,0,0,0,0,0
鴻海,2317,2017/1/29,0,0,0,0,0,0,0
鴻海,2317,2017/1/30,0,0,0,0,0,0,0
鴻海,2317,2017/1/31,0,0,0,0,0,0,0
鴻海,2317,2017/2/1,0,0,0,0,0,0,0
鴻海,2317,2017/2/2,85.7,85.7,83.2,84.1,71270000,0,0
鴻海,2317,2017/2/3,83.8,84.1,83.5,83.7,34234000,18,0
鴻海,2317,2017/2/4,0,0,0,0,0,0,0
鴻海,2317,2017/2/5,0,0,0,0,0,0,0
鴻海,2317,2017/2/6,84.2,85,84,85,44282000,34,0
鴻海,2317,2017/2/7,85.5,85.8,84.6,85.8,56538000,0,0
鴻海,2317,2017/2/8,86,87.5,85.8,87.5,96381000,0,0
鴻海,2317,2017/2/9,88,88.9,87.7,88.9,94489000,0,0
鴻海,2317,2017/2/10,89,89.8,88.5,89.1,80656000,0,0
鴻海,2317,2017/2/11,0,0,0,0,0,0,0
鴻海,2317,2017/2/12,0,0,0,0,0,0,0
鴻海,2317,2017/2/13,89.4,89.9,88.8,89.9,52725000,0,0
鴻海,2317,2017/2/14,90.6,90.7,89.6,90,73850000,0,0
鴻海,2317,2017/2/15,90.5,91,90.1,90.9,74238000,0,0
鴻海,2317,2017/2/16,91.5,91.8,90,91,47500000,0,0
鴻海,2317,2017/2/17,90.4,90.9,90,90,29520000,0,0
鴻海,2317,2017/2/18,0,0,0,0,0,0,0
鴻海,2317,2017/2/19,0,0,0,0,0,0,0
鴻海,2317,2017/2/20,0,0,0,0,0,0,0
玉晶光,3406,2016/10/5,53.3,53.3,52.6,52.6,321000,0,0
玉晶光,3406,2016/10/6,53.2,53.2,52.6,52.7,402000,0,0
玉晶光,3406,2016/10/7,54.5,54.5,53.1,53.1,558000,0,0
玉晶光,3406,2016/10/8,0,0,0,0,0,0,0
玉晶光,3406,2016/10/9,0,0,0,0,0,0,0
玉晶光,3406,2016/10/10,0,0,0,0,0,0,0
玉晶光,3406,2016/10/11,52.9,52.9,51.5,51.9,721000,0,0
玉晶光,3406,2016/10/12,51.3,51.8,51.3,51.3,576000,0,0
玉晶光,3406,2016/10/13,51.2,51.5,50.3,50.4,695000,0,0
玉晶光,3406,2016/10/14,50.1,50.1,49.15,49.5,779000,0,0
玉晶光,3406,2016/10/15,0,0,0,0,0,0,0
玉晶光,3406,2016/10/16,0,0,0,0,0,0,0
玉晶光,3406,2016/10/17,49.3,50.5,48.6,49.8,443000,0,0
玉晶光,3406,2016/10/18,50,50.2,49.55,50.1,153000,0,0
玉晶光,3406,2016/10/19,50.5,50.7,50.2,50.5,293000,0,0
玉晶光,3406,2016/10/20,50.8,51.8,50.5,50.8,386000,0,0
玉晶光,3406,2016/10/21,50.9,51.5,50.9,51.1,208000,0,0
玉晶光,3406,2016/10/22,0,0,0,0,0,0,0
玉晶光,3406,2016/10/23,0,0,0,0,0,0,0
玉晶光,3406,2016/10/24,51.5,51.7,51.1,51.3,215000,0,0
玉晶光,3406,2016/10/25,51.4,51.7,50.8,50.8,235000,0,0
玉晶光,3406,2016/10/26,50.8,51.7,50.6,51.6,306000,0,0
玉晶光,3406,2016/10/27,51.9,51.9,50.7,50.8,247000,0,0
玉晶光,3406,2016/10/28,50.9,51.2,50.6,50.6,207000,0,0
玉晶光,3406,2016/10/29,0,0,0,0,0,0,0
玉晶光,3406,2016/10/30,0,0,0,0,0,0,0
玉晶光,3406,2016/10/31,50.3,50.6,50,50.4,130000,0,0
玉晶光,3406,2016/11/1,50.2,50.8,50.2,50.2,151000,0,0
玉晶光,3406,2016/11/2,50,50.1,49.15,49.35,467000,0,0
玉晶光,3406,2016/11/3,49.35,49.55,48,48.4,440000,0,0
玉晶光,3406,2016/11/4,48.4,48.8,48,48.45,252000,0,0
玉晶光,3406,2016/11/5,0,0,0,0,0,0,0
玉晶光,3406,2016/11/6,0,0,0,0,0,0,0
玉晶光,3406,2016/11/7,51.6,53.2,50,50,1123000,0,0
玉晶光,3406,2016/11/8,50.1,50.4,49.25,49.4,367000,0,0
玉晶光,3406,2016/11/9,49.9,50.3,47.3,47.3,623000,0,0
玉晶光,3406,2016/11/10,49,49.3,48.25,48.75,448000,0,0
玉晶光,3406,2016/11/11,52,52.9,51.4,52,3686000,0,0
玉晶光,3406,2016/11/12,0,0,0,0,0,0,0
玉晶光,3406,2016/11/13,0,0,0,0,0,0,0
玉晶光,3406,2016/11/14,52.7,54,51.8,52.3,2117000,0,0
玉晶光,3406,2016/11/15,53.3,54.6,52.8,53.5,1789000,0,0
玉晶光,3406,2016/11/16,54.3,54.7,53.5,53.8,1361000,0,0
玉晶光,3406,2016/11/17,54.8,59.1,54.6,59.1,7138000,0,0
玉晶光,3406,2016/11/18,59.9,65,59.1,65,12311000,0,0
玉晶光,3406,2016/11/19,0,0,0,0,0,0,0
玉晶光,3406,2016/11/20,0,0,0,0,0,0,0
玉晶光,3406,2016/11/21,66.1,69,65.8,68,11642000,0,0
玉晶光,3406,2016/11/22,74.8,74.8,74.8,74.8,3026000,0,0
玉晶光,3406,2016/11/23,82.2,82.2,79.2,82.2,8097000,0,0
玉晶光,3406,2016/11/24,81.5,87.7,80.5,86,20903000,0,0
玉晶光,3406,2016/11/25,85.2,94.6,85,94.5,7174000,0,0
玉晶光,3406,2016/11/26,0,0,0,0,0,0,0
玉晶光,3406,2016/11/27,0,0,0,0,0,0,0
玉晶光,3406,2016/11/28,95,95,86.2,87.6,7630000,0,0
玉晶光,3406,2016/11/29,88.4,94.6,88,92.8,6410000,0,0
玉晶光,3406,2016/11/30,93.8,95.3,88,92.3,6166000,0,0
玉晶光,3406,2016/12/1,92.3,92.3,88,88.5,4030000,0,0
玉晶光,3406,2016/12/2,88.8,91.6,88,91,4255000,0,0
玉晶光,3406,2016/12/3,0,0,0,0,0,0,0
玉晶光,3406,2016/12/4,0,0,0,0,0,0,0
玉晶光,3406,2016/12/5,92.8,93.9,90.6,93.8,4088000,0,0
玉晶光,3406,2016/12/6,96,98.7,95,95,7531000,0,0
玉晶光,3406,2016/12/7,94.5,96.4,93.9,96.4,3553000,0,0
玉晶光,3406,2016/12/8,96.4,96.4,90.4,91,5712000,0,0
玉晶光,3406,2016/12/9,90.7,100,89.6,100,15498000,0,0
玉晶光,3406,2016/12/10,0,0,0,0,0,0,0
玉晶光,3406,2016/12/11,0,0,0,0,0,0,0
玉晶光,3406,2016/12/12,104,110,103.5,110,16044000,0,0
玉晶光,3406,2016/12/13,112,116,108,116,17272000,0,0
玉晶光,3406,2016/12/14,115,120.5,111,115.5,21518000,0,0
玉晶光,3406,2016/12/15,113.5,117.5,111.5,117.5,9240000,0,0
玉晶光,3406,2016/12/16,120,121.5,116,117.5,15508000,0,0
玉晶光,3406,2016/12/17,0,0,0,0,0,0,0
玉晶光,3406,2016/12/18,0,0,0,0,0,0,0
玉晶光,3406,2016/12/19,117.5,118.5,106,106,16797000,0,0
玉晶光,3406,2016/12/20,106,110.5,104.5,110,14294000,0,0
玉晶光,3406,2016/12/21,112,112.5,106.5,109,10616000,0,0
玉晶光,3406,2016/12/22,108.5,108.5,103,103.5,8549000,0,0
玉晶光,3406,2016/12/23,105,107,103,104,8264000,0,0
玉晶光,3406,2016/12/24,0,0,0,0,0,94,0
玉晶光,3406,2016/12/25,0,0,0,0,0,0,0
玉晶光,3406,2016/12/26,103.5,104.5,98.5,100,10896000,0,-55
玉晶光,3406,2016/12/27,101,103,99.7,102,8499000,0,0
玉晶光,3406,2016/12/28,108,112,107,112,8535000,0,0
玉晶光,3406,2016/12/29,114,115.5,109.5,109.5,17485000,0,0
玉晶光,3406,2016/12/30,109.5,112,107,112,8246000,0,0
玉晶光,3406,2016/12/31,0,0,0,0,0,0,0
玉晶光,3406,2017/1/1,0,0,0,0,0,0,0
玉晶光,3406,2017/1/2,0,0,0,0,0,0,0
玉晶光,3406,2017/1/3,111.5,111.5,108.5,109.5,4412000,0,0
玉晶光,3406,2017/1/4,110.5,113,108.5,109,5850000,0,0
玉晶光,3406,2017/1/5,110.5,114,109.5,111.5,9639000,0,0
玉晶光,3406,2017/1/6,112,112.5,109,109,4311000,0,0
玉晶光,3406,2017/1/7,0,0,0,0,0,0,0
玉晶光,3406,2017/1/8,0,0,0,0,0,0,0
玉晶光,3406,2017/1/9,109,111.5,104,105.5,8534000,0,0
玉晶光,3406,2017/1/10,105,107,103,107,4402000,0,0
玉晶光,3406,2017/1/11,108,109.5,105,105,3856000,0,0
玉晶光,3406,2017/1/12,106,107.5,105.5,107.5,3906000,0,0
